,quantity,slug,_id,name,price,sellerId,selectedVariation.color.name,selectedVariation.color.hex,selectedVariation.images,selectedVariation._id,selectedVariation.size,selectedVariation.stockTecidos,selectedVariation.tecidos._id,selectedVariation.tecidos.tecidosImages,selectedVariation.tecidos.name,associatedProduct,createdAt
910,1,faixa-para-cabelo-em-linho,604a995ff08f390017d0aaf4,Faixa para cabelo em Linho,2700,5caf95599eebb200176e2999,Branco,#FFFFFF,"['products/161550166403017-enika.jpg', 'products/161550166497718-enika.jpg', 'products/161550166514819-enika.jpg', 'products/161550166557020-enika.jpg', 'products/161550166589821-enika.jpg']",604a995ff08f390017d0aaff,U,False,,,,,2021-07-29 21:00:32.054000+00:00
911,1,macacao-jardineira-moletom,5f146009226ae4001712a056,Macacão Jardineira Moletom,19400,5caf95599eebb200176e2999,Cinza,#CACACA,"['products/15960263206661-enika', 'products/162082669748110-enika.jpg', 'products/162082669908211-enika.jpg']",5f216dd0d6871b001771b030,P,False,,,,,2021-10-03 08:29:49.430000+00:00
912,1,camisa-mica-linho,5fce7caf237eb400176f8b91,Camisa Mica Linho,17800,5caf95599eebb200176e2999,Branco,#FFFFFF,"['products/16073678555538-enika.jpg', 'products/16073678564019-enika.jpg', 'products/160736785691510-enika.jpg', 'products/160736785736011-enika.jpg', 'products/160736785784312-enika.jpg', 'products/160736785832113-enika.jpg']",5fce7caf237eb400176f8b92,P,False,,,,,2021-10-03 08:29:49.430000+00:00
913,1,calca-moletom-pregas,5ec1b02e9e4496001705804f,Calça de Moletom Pregas,18900,5caf95599eebb200176e2999,Verde,#2E341D,"['products/162386754939017-enika.jpg', 'products/162386754997418-enika.jpg', 'products/162386754999419-enika.jpg', 'products/162386755018020-enika.jpg', 'products/162386755020221-enika.jpg']",60ca409c9a2ed60017183eda,M,False,,,,,2021-07-14 22:40:53.336000+00:00
914,1,macacao-quatro,5f57fde7380b6c0017446dfc,Macacão Quatro,19600,5caf95599eebb200176e2999,Azul,#46608A,"['products/16177244113828-enika.jpg', 'products/16177244143039-enika.jpg', 'products/161772441641410-enika.jpg', 'products/161772441854511-enika.jpg', 'products/161772442051412-enika.jpg', 'products/161772442249113-enika.jpg']",60539f69d13183001782ad86,PP,False,,,,,2021-08-21 21:28:44.741000+00:00
915,1,macacao-transpassado-em-linho,6078b579f57a7b0017f69612,Macacão Transpassado em Linho,19800,5caf95599eebb200176e2999,Rosa,#EFA1A1,"['products/16185235140091-enika.jpg', 'products/16185235153202-enika.jpg', 'products/16185235161373-enika.jpg', 'products/16185235168324-enika.jpg', 'products/16185235174665-enika.jpg', 'products/16185235180076-enika.jpg']",6078b579f57a7b0017f69619,PP,True,607d91e36d347d00176abc81,tecidos/16188420834471-enika.jpg,LINHO Rose,,2021-08-21 21:28:44.741000+00:00
916,1,calca-comphy-linho,5e1f0f00d0ae4900176fb3d4,Calça Comphy Linho,18700,5caf95599eebb200176e2999,Vermelho,#F51E1E,"['products/16292059493873-enika.jpg', 'products/16292059500204-enika.jpg', 'products/16292059501855-enika.jpg', 'products/16292059502056-enika.jpg', 'products/16292059503517-enika.jpg']",611bb5bc68f7b20018c0b28c,PP,False,,,,,2021-08-24 16:08:09.048000+00:00
917,1,calca-mica-xadrez-pronta-entrega,60be62e5fc9f5b001783f909,Calça Mica Xadrez Pronta-entrega,24900,5caf95599eebb200176e2999,Azul,#46608A,"['products/162024501822122-enika.jpg', 'products/162024501923223-enika.jpg', 'products/162024501941224-enika.jpg', 'products/162024501980725-enika.jpg', 'products/162024502017426-enika.jpg']",60ed8b3f33f4c600f9386425,M,False,,,,,2021-09-28 11:39:12.810000+00:00
918,1,macacao-balle-moletinho,611a9fb4c51cc20018cebde0,Macacão Balle Moletinho,17600,5caf95599eebb200176e2999,Laranja,#FF3000,"['products/16291347728496-enika.jpg', 'products/16291347732807-enika.jpg', 'products/16291347735288-enika.jpg', 'products/16291347738249-enika.jpg', 'products/162913477385510-enika.jpg']",611a9fb4c51cc20018cebde1,M,True,6143b5dd3b510b001817a578,tecidos/16318274390381-enika.jpg,Moletinho Telha,,2021-10-04 01:40:19.242000+00:00
919,1,vestido-torcido-eco,5dc076c31e48e00017b003da,Vestido Torcido ECO,24200,5caf95599eebb200176e2999,Vermelho,#E38394,"['products/15728944038341-DSC_0382.png', 'products/15728944127742-DSC_0393.png', 'products/15728944186313-DSC_0415.png', 'products/15728944244574-DSC_0375.png', 'products/15728944304785-DSC_0382.png', 'products/15728944366886-DSC_0433.png', 'products/15728944428277-DSC_0439.png']",5dfb7a141e7b2600177c96c5,P,False,,,,,2021-09-11 23:52:25.488000+00:00
920,1,macacao-jardineira-linho-pronta-entrega,60abfb9d6edfa0001712daef,Macacão Jardineira Linho Pronta-entrega,19600,5caf95599eebb200176e2999,Cinza,#C3C2C0,"['products/16122868732251-enika.jpg', 'products/16122868738072-enika.jpg', 'products/16122868752003-enika.jpg', 'products/16122868754524-enika.jpg', 'products/16122868775145-enika.jpg', 'products/16122868780026-enika.jpg']",60ed8b3f33f4c600f9386410,P,False,,,,,2021-10-07 12:35:07.174000+00:00
921,1,calca-comphy-linho,5e1f0f00d0ae4900176fb3d4,Calça Comphy Linho,18700,5caf95599eebb200176e2999,Bordo,#740F0F,"['products/16261823862591-enika.jpg', 'products/16261823864282-enika.jpg', 'products/16261823866153-enika.jpg', 'products/16261823867884-enika.jpg', 'products/16261823868445-enika.jpg']",60dc99d3971a4b0017455e8f,M,False,,,,,2021-10-08 13:47:59.159000+00:00
922,1,conjunto-jogger,5fbaa88627ff210017b6d990,Conjunto Jogger Bee,30900,5caf95599eebb200176e2999,Azul,#243965,"['products/161160699371414-enika.jpg', 'products/161160699445415-enika.jpg', 'products/161160699488716-enika.jpg', 'products/161160699526517-enika.jpg', 'products/161160699565718-enika.jpg', 'products/161160699604819-enika.jpg', 'products/161160699641420-enika.jpg']",5fbaa88627ff210017b6d991,M,True,5ff75a288e16630017b81e29,tecidos/16100459936782-enika.jpg,Estampa Bee,,2021-10-08 13:47:59.159000+00:00
923,1,calca-jogger-viscose,6099995eff218f00179f9fa8,Calça Jogger Viscose,19700,5caf95599eebb200176e2999,Verde,#2E341D,"['products/162067900715714-enika.jpg', 'products/162067900793115-enika.jpg', 'products/162067900830916-enika.jpg', 'products/162067900871417-enika.jpg', 'products/162067900906518-enika.jpg', 'products/162067900944419-enika.jpg']",6099995eff218f00179f9fa9,M,True,609998e5ff218f00179f9fa7,tecidos/162067888590313-enika.jpg,Viscose Rayon,,2021-10-08 13:47:59.159000+00:00
